signal,label,n,win_rate_pct,mean_return_pct,median_return_pct,edge_over_baseline_pct
volume_spike,出来高急増,21387,26.8,0.67,0.15,5.5
bb_squeeze,ボラティリティ収縮,77903,17.3,-0.14,-0.16,-4.1
golden_cross,ゴールデンクロス,9749,20.7,0.38,-0.1,-0.6
rsi_rebound,RSI反発,98180,20.1,0.03,0.04,-1.2
