symbol,entry_time,entry_price,exit_time,exit_price,raw_return_pct,net_return_pct,resolved,bars_held,days_held,signal_volume_ratio
ADAUSDT,2022-11-08 17:00:00+00:00,0.405,2023-01-07 16:00:00+00:00,0.2742,-32.296,-32.496,False,1439,59.96,3.75
BTCUSDT,2022-11-08 17:00:00+00:00,20369.58,2023-01-07 16:00:00+00:00,16922.79,-16.921,-17.121,False,1439,59.96,3.204
DOTUSDT,2022-11-08 17:00:00+00:00,6.82,2023-01-07 16:00:00+00:00,4.649,-31.833,-32.033,False,1439,59.96,3.517
AVAXUSDT,2022-11-08 17:00:00+00:00,17.44,2023-01-07 16:00:00+00:00,11.66,-33.142,-33.342,False,1439,59.96,3.174
ETHUSDT,2022-11-08 17:00:00+00:00,1545.82,2023-01-07 16:00:00+00:00,1262.49,-18.329,-18.529,False,1439,59.96,3.273
NEARUSDT,2022-11-08 17:00:00+00:00,2.941,2023-01-07 16:00:00+00:00,1.555,-47.127,-47.327,False,1439,59.96,3.036
XRPUSDT,2022-11-08 17:00:00+00:00,0.4487,2023-01-07 16:00:00+00:00,0.3434,-23.468,-23.668,False,1439,59.96,3.095
OPUSDT,2022-11-08 17:00:00+00:00,1.182,2023-01-07 16:00:00+00:00,1.093,-7.53,-7.73,False,1439,59.96,3.815
ATOMUSDT,2022-11-08 17:00:00+00:00,13.684,2023-01-07 16:00:00+00:00,10.19,-25.533,-25.733,False,1439,59.96,3.642
CHZUSDT,2022-11-08 17:00:00+00:00,0.2641,2023-01-07 16:00:00+00:00,0.1078,-59.182,-59.382,False,1439,59.96,3.352
SHIBUSDT,2022-11-08 17:00:00+00:00,1.116e-05,2023-01-07 16:00:00+00:00,8.4e-06,-24.731,-24.931,False,1439,59.96,2.666
ETCUSDT,2022-11-08 17:00:00+00:00,24.5,2023-01-07 16:00:00+00:00,20.06,-18.122,-18.322,False,1439,59.96,4.552
BCHUSDT,2022-11-08 17:00:00+00:00,116.3,2023-01-07 16:00:00+00:00,101.6,-12.64,-12.84,False,1439,59.96,2.564
AAVEUSDT,2022-11-08 17:00:00+00:00,85.5,2023-01-07 16:00:00+00:00,56.0,-34.503,-34.703,False,1439,59.96,3.068
UNIUSDT,2022-11-08 17:00:00+00:00,6.9,2023-01-07 16:00:00+00:00,5.422,-21.42,-21.62,False,1439,59.96,4.521
DOGEUSDT,2022-11-08 17:00:00+00:00,0.10812,2023-01-07 16:00:00+00:00,0.07202,-33.389,-33.589,False,1439,59.96,4.017
XRPUSDT,2022-11-08 19:00:00+00:00,0.4052,2023-01-07 18:00:00+00:00,0.3456,-14.709,-14.909,False,1439,59.96,4.447
SANDUSDT,2022-11-08 19:00:00+00:00,0.715,2023-01-07 18:00:00+00:00,0.4558,-36.252,-36.452,False,1439,59.96,3.05
AVAXUSDT,2022-11-08 19:00:00+00:00,15.91,2023-01-07 18:00:00+00:00,11.75,-26.147,-26.347,False,1439,59.96,3.889
BCHUSDT,2022-11-08 19:00:00+00:00,105.9,2022-11-23 03:00:00+00:00,116.49000000000001,10.0,9.8,True,344,14.33,3.124
BTCUSDT,2022-11-08 19:00:00+00:00,18600.51,2023-01-07 18:00:00+00:00,16938.12,-8.937,-9.137,False,1439,59.96,3.103
XLMUSDT,2022-11-08 19:00:00+00:00,0.0999,2023-01-07 18:00:00+00:00,0.0756,-24.324,-24.524,False,1439,59.96,4.07
ENJUSDT,2022-11-08 19:00:00+00:00,0.4106,2022-11-09 19:00:00+00:00,0.45166000000000006,10.0,9.8,True,24,1.0,3.417
ETCUSDT,2022-11-08 19:00:00+00:00,22.21,2023-01-07 18:00:00+00:00,20.02,-9.86,-10.06,False,1439,59.96,4.856
DOGEUSDT,2022-11-08 19:00:00+00:00,0.09038,2022-11-27 09:00:00+00:00,0.099418,10.0,9.8,True,446,18.58,3.353
MANAUSDT,2022-11-08 19:00:00+00:00,0.5935,2023-01-07 18:00:00+00:00,0.3515,-40.775,-40.975,False,1439,59.96,2.921
DOTUSDT,2022-11-08 19:00:00+00:00,6.3,2023-01-07 18:00:00+00:00,4.651,-26.175,-26.375,False,1439,59.96,3.27
APTUSDT,2022-11-08 19:00:00+00:00,5.4828,2023-01-07 18:00:00+00:00,3.8151,-30.417,-30.617,False,1439,59.96,3.789
AXSUSDT,2022-11-08 19:00:00+00:00,8.53,2022-11-13 13:00:00+00:00,9.383000000000001,10.0,9.8,True,114,4.75,2.83
OPUSDT,2022-11-08 19:00:00+00:00,1.006,2022-12-02 14:00:00+00:00,1.1066,10.0,9.8,True,571,23.79,4.571
CHZUSDT,2022-11-08 19:00:00+00:00,0.2151,2022-11-16 04:00:00+00:00,0.23661000000000004,10.0,9.8,True,177,7.38,4.205
NEARUSDT,2022-11-08 19:00:00+00:00,2.65,2023-01-07 18:00:00+00:00,1.557,-41.245,-41.445,False,1439,59.96,3.107
ATOMUSDT,2022-11-08 19:00:00+00:00,12.329,2023-01-07 18:00:00+00:00,10.212,-17.171,-17.371,False,1439,59.96,2.927
SHIBUSDT,2022-11-08 19:00:00+00:00,1.025e-05,2023-01-07 18:00:00+00:00,8.43e-06,-17.756,-17.956,False,1439,59.96,3.896
UNIUSDT,2022-11-08 19:00:00+00:00,6.24,2023-01-07 18:00:00+00:00,5.418,-13.173,-13.373,False,1439,59.96,3.687
AAVEUSDT,2022-11-08 19:00:00+00:00,76.6,2023-01-07 18:00:00+00:00,55.9,-27.023,-27.223,False,1439,59.96,4.493
TRXUSDT,2022-11-09 06:00:00+00:00,0.06077,2023-01-08 05:00:00+00:00,0.05194,-14.53,-14.73,False,1439,59.96,11.38
ETHUSDT,2022-11-09 11:00:00+00:00,1195.02,2022-11-10 13:00:00+00:00,1314.5220000000002,10.0,9.8,True,26,1.08,2.652
ENJUSDT,2022-11-09 16:00:00+00:00,0.3513,2022-11-09 19:00:00+00:00,0.38643000000000005,10.0,9.8,True,3,0.12,2.737
SOLUSDT,2022-11-09 19:00:00+00:00,14.26,2022-11-10 03:00:00+00:00,15.686000000000002,10.0,9.8,True,8,0.33,2.591
ENJUSDT,2022-11-09 20:00:00+00:00,0.3502,2022-11-10 21:00:00+00:00,0.38522000000000006,10.0,9.8,True,25,1.04,4.146
AAVEUSDT,2022-11-10 01:00:00+00:00,60.5,2022-11-10 13:00:00+00:00,66.55000000000001,10.0,9.8,True,12,0.5,2.626
TRXUSDT,2022-11-10 07:00:00+00:00,0.05647,2022-11-10 17:00:00+00:00,0.062117000000000006,10.0,9.8,True,10,0.42,5.209
ETHUSDT,2022-11-11 15:00:00+00:00,1261.99,2023-01-10 14:00:00+00:00,1332.12,5.557,5.357,False,1439,59.96,4.839
AAVEUSDT,2022-11-11 17:00:00+00:00,62.7,2023-01-10 16:00:00+00:00,62.2,-0.797,-0.997,False,1439,59.96,2.783
AVAXUSDT,2022-11-11 17:00:00+00:00,13.92,2023-01-10 16:00:00+00:00,12.65,-9.124,-9.324,False,1439,59.96,2.727
XLMUSDT,2022-11-11 22:00:00+00:00,0.094,2023-01-10 21:00:00+00:00,0.0797,-15.213,-15.413,False,1439,59.96,4.251
AAVEUSDT,2022-11-12 07:00:00+00:00,58.3,2022-11-30 00:00:00+00:00,64.13,10.0,9.8,True,425,17.71,7.905
LINKUSDT,2022-11-12 07:00:00+00:00,6.495,2022-11-26 14:00:00+00:00,7.144500000000001,10.0,9.8,True,343,14.29,5.572
BNBUSDT,2022-11-12 07:00:00+00:00,288.3,2022-11-26 09:00:00+00:00,317.13000000000005,10.0,9.8,True,338,14.08,4.672
DOGEUSDT,2022-11-12 08:00:00+00:00,0.08753,2022-11-27 06:00:00+00:00,0.09628300000000001,10.0,9.8,True,358,14.92,7.034
AXSUSDT,2022-11-13 01:00:00+00:00,6.7,2022-11-13 13:00:00+00:00,7.370000000000001,10.0,9.8,True,12,0.5,2.668
AVAXUSDT,2022-11-13 08:00:00+00:00,12.98,2022-12-05 05:00:00+00:00,14.278000000000002,10.0,9.8,True,525,21.88,2.588
SOLUSDT,2022-11-13 08:00:00+00:00,13.95,2023-01-09 01:00:00+00:00,15.345,10.0,9.8,True,1361,56.71,2.688
MANAUSDT,2022-11-13 08:00:00+00:00,0.4525,2023-01-12 07:00:00+00:00,0.4046,-10.586,-10.786,False,1439,59.96,2.998
ETHUSDT,2022-11-13 08:00:00+00:00,1250.94,2023-01-11 23:00:00+00:00,1376.034,10.0,9.8,True,1431,59.62,2.829
