signal,label,n,win_rate_pct,mean_return_pct
volume_spike,出来高急増,0,,
bb_squeeze,ボラティリティ収縮,1,0.0,0.9
golden_cross,ゴールデンクロス,3,33.3,1.15
rsi_rebound,RSI反発,93,67.7,4.92
