symbol,entry_time,entry_price,max_high,max_rise_pct,days_to_max,reached_5pct,reached_7pct,reached_10pct
ETHUSDT,2023-01-18 18:00:00+00:00,1541.58,1841.0,19.423,58.75,True,True,True
BNBUSDT,2023-01-18 18:00:00+00:00,293.4,346.3,18.03,58.46,True,True,True
ETHUSDT,2023-01-23 16:00:00+00:00,1620.84,1857.16,14.58,58.96,True,True,True
SOLUSDT,2023-01-25 13:00:00+00:00,24.28,27.12,11.697,25.75,True,True,True
ETHUSDT,2023-01-29 02:00:00+00:00,1602.69,1857.16,15.878,53.54,True,True,True
BNBUSDT,2023-02-01 20:00:00+00:00,314.5,346.3,10.111,44.38,True,True,True
SOLUSDT,2023-02-01 20:00:00+00:00,24.24,27.12,11.881,18.46,True,True,True
ETHUSDT,2023-02-03 14:00:00+00:00,1637.1,1891.91,15.565,59.92,True,True,True
SOLUSDT,2023-02-05 14:00:00+00:00,23.65,27.12,14.672,14.71,True,True,True
SOLUSDT,2023-02-06 17:00:00+00:00,23.27,27.12,16.545,13.58,True,True,True
BNBUSDT,2023-02-08 17:00:00+00:00,327.7,346.3,5.676,37.5,True,False,False
SOLUSDT,2023-02-08 17:00:00+00:00,23.33,27.12,16.245,11.58,True,True,True
ETHUSDT,2023-02-08 17:00:00+00:00,1653.47,1942.98,17.509,55.75,True,True,True
BTCUSDT,2023-02-08 17:00:00+00:00,22965.01,29184.68,27.083,49.33,True,True,True
BNBUSDT,2023-02-12 16:00:00+00:00,312.8,346.3,10.71,33.54,True,True,True
ETHUSDT,2023-02-12 17:00:00+00:00,1543.05,2016.42,30.678,59.96,True,True,True
XRPUSDT,2023-02-13 02:00:00+00:00,0.3717,0.585,57.385,44.25,True,True,True
ETHUSDT,2023-02-13 11:00:00+00:00,1482.54,2128.76,43.589,59.54,True,True,True
SOLUSDT,2023-02-16 17:00:00+00:00,23.68,27.12,14.527,3.58,True,True,True
BTCUSDT,2023-02-17 15:00:00+00:00,23863.31,31000.0,29.907,55.58,True,True,True
ETHUSDT,2023-02-22 16:00:00+00:00,1613.72,2141.54,32.708,53.08,True,True,True
BNBUSDT,2023-02-23 23:00:00+00:00,308.6,350.0,13.415,51.71,True,True,True
XRPUSDT,2023-02-27 10:00:00+00:00,0.3723,0.585,57.131,29.92,True,True,True
SOLUSDT,2023-02-27 14:00:00+00:00,23.19,26.0,12.117,48.5,True,True,True
BTCUSDT,2023-02-27 14:00:00+00:00,23704.29,31000.0,30.778,45.62,True,True,True
XRPUSDT,2023-03-03 03:00:00+00:00,0.3635,0.585,60.935,26.21,True,True,True
SOLUSDT,2023-03-05 01:00:00+00:00,21.4,26.0,21.495,43.04,True,True,True
XRPUSDT,2023-03-06 03:00:00+00:00,0.3628,0.585,61.246,23.21,True,True,True
ETHUSDT,2023-03-08 16:00:00+00:00,1560.39,2141.54,37.244,39.08,True,True,True
SOLUSDT,2023-03-08 16:00:00+00:00,19.24,26.0,35.135,39.42,True,True,True
BTCUSDT,2023-03-08 16:00:00+00:00,22139.97,31000.0,40.018,36.54,True,True,True
ETHUSDT,2023-03-09 22:00:00+00:00,1432.09,2141.54,49.539,37.83,True,True,True
XRPUSDT,2023-03-12 17:00:00+00:00,0.3509,0.585,66.714,16.62,True,True,True
BNBUSDT,2023-03-12 18:00:00+00:00,278.9,350.0,25.493,34.92,True,True,True
BTCUSDT,2023-03-12 18:00:00+00:00,20786.52,31000.0,49.135,32.46,True,True,True
XRPUSDT,2023-03-12 19:00:00+00:00,0.3605,0.585,62.275,16.54,True,True,True
SOLUSDT,2023-03-13 15:00:00+00:00,20.47,26.0,27.015,34.46,True,True,True
XRPUSDT,2023-03-13 16:00:00+00:00,0.3731,0.585,56.794,15.67,True,True,True
SOLUSDT,2023-03-14 13:00:00+00:00,21.41,26.0,21.439,33.54,True,True,True
BTCUSDT,2023-03-27 14:00:00+00:00,27693.0,31000.0,11.942,17.67,True,True,True
BTCUSDT,2023-03-27 16:00:00+00:00,26903.63,31000.0,15.226,17.58,True,True,True
SOLUSDT,2023-03-27 16:00:00+00:00,19.77,26.0,31.512,20.46,True,True,True
ETHUSDT,2023-03-27 16:00:00+00:00,1711.73,2141.54,25.11,20.12,True,True,True
BNBUSDT,2023-03-30 03:00:00+00:00,316.9,350.0,10.445,17.58,True,True,True
ETHUSDT,2023-03-30 03:00:00+00:00,1816.8,2141.54,17.874,17.67,True,True,True
BTCUSDT,2023-04-02 14:00:00+00:00,28279.52,31000.0,9.62,11.67,True,True,False
BTCUSDT,2023-04-03 09:00:00+00:00,28335.0,31000.0,9.405,10.88,True,True,False
BNBUSDT,2023-04-03 22:00:00+00:00,305.9,350.0,14.416,12.79,True,True,True
BTCUSDT,2023-04-09 20:00:00+00:00,28140.41,31000.0,10.162,4.42,True,True,True
BNBUSDT,2023-04-10 17:00:00+00:00,314.2,350.0,11.394,6.0,True,True,True
ETHUSDT,2023-04-12 13:00:00+00:00,1882.17,2141.54,13.78,4.25,True,True,True
ETHUSDT,2023-04-12 15:00:00+00:00,1914.45,2141.54,11.862,4.17,True,True,True
SOLUSDT,2023-04-19 07:00:00+00:00,24.29,24.43,0.576,0.0,False,False,False
BTCUSDT,2023-04-20 00:00:00+00:00,28797.1,30036.0,4.302,6.54,False,False,False
BTCUSDT,2023-04-20 13:00:00+00:00,28892.99,30036.0,3.956,6.0,False,False,False
SOLUSDT,2023-04-20 17:00:00+00:00,22.14,23.99,8.356,9.92,True,True,False
BNBUSDT,2023-04-21 08:00:00+00:00,329.7,345.0,4.641,5.17,False,False,False
BNBUSDT,2023-04-26 21:00:00+00:00,331.2,339.6,2.536,4.17,False,False,False
XRPUSDT,2023-04-26 21:00:00+00:00,0.455,0.5658,24.352,47.58,True,True,True
BNBUSDT,2023-04-28 11:00:00+00:00,321.1,339.6,5.761,2.58,True,False,False
ETHUSDT,2023-04-28 16:00:00+00:00,1886.8,2019.0,7.007,7.33,True,True,False
XRPUSDT,2023-05-01 01:00:00+00:00,0.4711,0.5658,20.102,43.42,True,True,True
